Country,Rank,Account,Title,Link,Category,Followers,Audience Country,Authentic engagement,Engagement avg,Scraped date
All,1,cristiano,Cristiano Ronaldo,https://www.instagram.com/cristiano/,Sports with a ball,400100000,India,7800000,9500000,1/1/2024
All,2,kyliejenner,Kylie 🤍,https://www.instagram.com/kyliejenner/,Fashion|Modeling|Beauty,308800000,United States,6200000,10100000,1/1/2024
All,3,leomessi,Leo Messi,https://www.instagram.com/leomessi/,Sports with a ball|Family,306300000,Argentina,4800000,6500000,1/1/2024
All,4,kendalljenner,Kendall,https://www.instagram.com/kendalljenner/,Modeling|Fashion,217800000,United States,3400000,5400000,1/1/2024
All,5,selenagomez,Selena Gomez,https://www.instagram.com/selenagomez/,Music|Lifestyle,295800000,United States,2700000,3600000,1/1/2024
All,6,zendaya,Zendaya,https://www.instagram.com/zendaya/,Cinema|Actors/actresses|Fashion,127800000,United States,5800000,7800000,1/1/2024
All,7,kimkardashian,Kim Kardashian West,https://www.instagram.com/kimkardashian/,Fashion|Beauty,284900000,United States,2200000,3300000,1/1/2024
All,8,beyonce,Beyoncé,https://www.instagram.com/beyonce/,Music|Fashion,237200000,United States,2500000,3600000,1/1/2024
All,9,arianagrande,Ariana Grande,https://www.instagram.com/arianagrande/,Music,294100000,United States,1700000,2400000,1/1/2024
All,10,billieeilish,BILLIE EILISH,https://www.instagram.com/billieeilish/,Music,100000000,United States,5300000,7000000,1/1/2024
All,11,neymarjr,NJ 🇧🇷,https://www.instagram.com/neymarjr/,Sports with a ball,169800000,Brazil,2800000,4000000,1/1/2024
All,12,lalalalisa_m,LISA,https://www.instagram.com/lalalalisa_m/,Music,73100000,Indonesia,7500000,8600000,1/1/2024
All,13,jennierubyjane,J,https://www.instagram.com/jennierubyjane/,Music,62300000,Indonesia,6400000,7600000,1/1/2024
All,14,tomholland2013,Tom Holland,https://www.instagram.com/tomholland2013/,Cinema|Actors/actresses,60900000,United States,5900000,7200000,1/1/2024
